file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\annotation\AnnotationConstants.java,org.springframework.integration.annotation.AnnotationConstants,class,0,0,0,0,1,1,0,0,0,1,-1,-1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,21,17,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-file\src\main\java\org\springframework\integration\file\dsl\Files.java,org.springframework.integration.file.dsl.Files,class,10,11,1,10,21,1,0,11,190,0,0,0,20,20,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,7,69,20,0,1,0,0,0,0,2,0,2,1,0,0,0,97,1025,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\aggregator\MethodInvokingCorrelationStrategy.java,org.springframework.integration.aggregator.MethodInvokingCorrelationStrategy,class,6,8,2,6,8,1,0,9,0,0,1,1,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,1,0,0,29,2,0,1,0,0,3,0,2,0,1,1,0,0,0,44,1,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-ftp\src\main\java\org\springframework\integration\ftp\inbound\FtpInboundFileSynchronizingMessageSource.java,org.springframework.integration.ftp.inbound.FtpInboundFileSynchronizingMessageSource,class,3,10,7,3,3,3,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,22,1,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-ftp\src\test\java\org\springframework\integration\ftp\FtpParserInboundTests.java,org.springframework.integration.ftp.FtpParserInboundTests,class,6,6,0,6,4,1,0,13,6,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,9,0,0,0,0,0,0,0,1,32,1,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\config\xml\WireTapParser.java,org.springframework.integration.config.xml.WireTapParser,class,8,11,3,8,8,1,0,14,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,36,2,0,0,0,0,8,0,9,0,9,1,0,0,0,38,1,2
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-jms\src\main\java\org\springframework\integration\jms\config\JmsHeaderEnricherParser.java,org.springframework.integration.jms.config.JmsHeaderEnricherParser,class,1,2,1,1,1,2,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,1,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\config\xml\EnricherParserTests3.java,org.springframework.integration.config.xml.EnricherParserTests3$SomeBean,innerclass,1,1,0,1,3,1,0,1,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,21,2,0,0,0,0,1,0,1,0,1,0,0,1,0,8,9,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-ip\src\test\java\org\springframework\integration\ip\tcp\connection\TcpConnectionEventListenerTests.java,org.springframework.integration.ip.tcp.connection.TcpConnectionEventListenerTests$FooEvent,innerclass,2,2,0,2,1,5,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,2,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-jmx\src\test\java\org\springframework\integration\monitor\HandlerMonitoringIntegrationTests.java,org.springframework.integration.monitor.HandlerMonitoringIntegrationTests$HandlerInterceptor,innerclass,2,2,0,2,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,6,9,1
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-jdbc\src\test\java\org\springframework\integration\jdbc\ExpressionEvaluatingSqlParameterSourceFactoryTests.java,org.springframework.integration.jdbc.ExpressionEvaluatingSqlParameterSourceFactoryTests,class,4,4,0,4,10,1,0,20,0,0,1,1,10,0,0,0,0,10,10,0,0,0,1,0,0,1,0,0,1,0,26,97,0,0,0,0,0,74,0,15,0,15,0,0,0,0,37,0,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-jpa\src\test\java\org\springframework\integration\jpa\outbound\JpaOutboundChannelAdapterTransactionalTests.java,org.springframework.integration.jpa.outbound.JpaOutboundChannelAdapterTransactionalTests,class,10,10,0,10,1,1,0,10,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,1,14,0,0,0,0,0,4,3,4,0,6,0,0,0,0,30,1,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-xml\src\test\java\org\springframework\integration\xml\transformer\XsltPayloadTransformerTests.java,org.springframework.integration.xml.transformer.XsltPayloadTransformerTests$StubResultTransformer,innerclass,1,1,0,1,2,1,0,0,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,9,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-jms\src\main\java\org\springframework\integration\jms\DynamicJmsTemplate.java,org.springframework.integration.jms.DynamicJmsTemplate,class,4,8,4,4,15,2,0,12,13,0.75,0.06666667,0.06666667,6,0,6,0,0,0,6,0,0,0,2,1,0,2,0,0,1,0,4,39,5,0,4,0,4,1,3,6,0,6,2,0,0,0,53,1,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-xmpp\src\main\java\org\springframework\integration\xmpp\XmppHeaders.java,org.springframework.integration.xmpp.XmppHeaders,class,0,0,0,0,1,1,0,0,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,7,7,7,0,0,0,7,0,0,11,0,0,0,0,0,7,0,7,6,7,0,0,0,0,31,17,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-cassandra\src\test\java\org\springframework\integration\cassandra\dsl\CassandraDslTests.java,org.springframework.integration.cassandra.dsl.CassandraDslTests,class,14,14,0,14,1,3,0,16,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,4,0,0,0,0,4,0,0,2,25,0,0,0,0,0,6,4,2,0,7,0,0,1,1,24,1,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-mongodb\src\main\java\org\springframework\integration\mongodb\store\MongoDbMessageStore.java,org.springframework.integration.mongodb.store.MongoDbMessageStore$DocumentToAdviceMessageConverter,innerclass,8,8,0,8,4,1,0,9,1,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,22,1,0,1,1,0,4,0,7,1,6,2,0,0,0,35,18,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\config\xml\InnerDefinitionHandlerAwareEndpointParserTests.java,org.springframework.integration.config.xml.InnerDefinitionHandlerAwareEndpointParserTests$TestRouter,innerclass,0,0,0,0,2,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,3,0,0,0,0,0,0,0,0,4,9,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\endpoint\ProducerAndConsumerAutoStartupTests.java,org.springframework.integration.endpoint.ProducerAndConsumerAutoStartupTests$Counter,innerclass,0,0,0,0,2,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,9,2,0,0,0,0,0,1,1,0,1,1,0,0,0,6,8,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-ws\src\test\java\org\springframework\integration\ws\DefaultSoapHeaderMapperTests.java,org.springframework.integration.ws.DefaultSoapHeaderMapperTests,class,12,12,0,12,8,1,0,46,28,0,0,0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,65,13,51,2,45,0,0,0,0,78,1,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-core\src\test\java\org\springframework\integration\transaction\TransactionInterceptorBuilderTests.java,org.springframework.integration.transaction.TransactionInterceptorBuilderTests,class,8,9,1,8,2,1,0,14,0,0.33333334,NaN,NaN,2,0,1,1,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,28,0,0,0,0,0,1,1,1,0,4,0,0,1,0,21,1,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-core\src\main\java\org\springframework\integration\config\SourcePollingChannelAdapterFactoryBean.java,org.springframework.integration.config.SourcePollingChannelAdapterFactoryBean,class,19,24,5,19,38,1,0,39,153,0.8956524,0.12987013,0.13419913,23,0,22,1,0,0,22,0,0,0,15,0,0,15,0,0,1,0,0,152,6,0,13,1,3,7,3,21,2,17,2,0,0,1,92,1,0
C:\Users\abhi\Downloads\Files\spring_integration\spring-integration\spring-integration-jms\src\test\java\org\springframework\integration\jms\config\JmsMessageDrivenChannelAdapterParserTests.java,org.springframework.integration.jms.config.JmsMessageDrivenChannelAdapterParserTests$FooContainer,innerclass,1,1,0,1,0,2,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,0
