"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.henninghall.date_picker","C:\User\abhi\MetricsCK\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\DatePickerModuleImpl.java","3","123","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.henninghall.date_picker","C:\User\abhi\MetricsCK\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\DerivedData.java","3","78","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.henninghall.date_picker.generated","C:\User\abhi\MetricsCK\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\generated\NumberPicker.java","3","2111","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"2","com.henninghall.date_picker.generated","C:\User\abhi\MetricsCK\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\generated\NumberPicker.java","3","2129","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","com.henninghall.date_picker.ui","C:\User\abhi\MetricsCK\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\ui\Accessibility.java","4","152","Unnecessary qualifier 'Accessibility': 'getLocale' is already in scope","Code Style","UnnecessaryFullyQualifiedName"
"1","com.rn069","C:\User\abhi\MetricsCK\react_native_datePicker\react_native_date_picker\examples\Rn069\android\app\src\androidTest\java\com\rn069\TestButlerProbe.java","3","45","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
