file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\ui\PickerWrapper.java,com.henninghall.date_picker.ui.PickerWrapper,class,2,3,1,2,4,1,0,4,0,0,1,1,4,0,0,0,0,4,4,0,0,0,1,0,0,1,0,0,1,0,0,16,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,0,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\generated\NumberPicker.java,com.henninghall.date_picker.generated.NumberPicker$ChangeCurrentByOneFromLongPressCommand,innerclass,1,1,0,1,2,1,0,2,0,0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,27,0,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\DateBoundary.java,com.henninghall.date_picker.DateBoundary,class,1,1,0,1,3,1,0,2,0,0,1,1,2,0,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,0,2,11,2,0,1,0,0,0,0,2,0,2,1,0,0,0,9,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\ui\WheelChangeListener.java,com.henninghall.date_picker.ui.WheelChangeListener,interface,1,4,3,1,2,1,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\examples\Rn069\android\app\src\main\java\com\rn069\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java,com.rn069.newarchitecture.modules.MainApplicationTurboModuleManagerDelegate$Builder,innerclass,4,4,0,4,1,2,0,0,0,0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\examples\Rn069\android\app\src\androidTest\java\com\rn069\DetoxTest.java,com.rn069.DetoxTest,class,9,9,0,9,2,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,11,0,0,0,0,1,0,4,5,0,2,0,0,0,0,9,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\wheels\DayWheel.java,com.henninghall.date_picker.wheels.DayWheel,class,7,9,2,7,25,2,0,33,101,0.8666666,0.04761905,0.04761905,15,0,7,8,0,0,7,0,0,0,3,1,0,3,0,0,0,0,6,100,15,1,5,0,0,4,11,20,4,16,2,0,0,0,45,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\examples\Rn071\android\app\src\main\java\com\rn071\MainApplication.java,com.rn071.MainApplication,class,6,7,1,6,3,2,0,6,1,0.5,0,0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,32,1,0,0,0,0,0,0,1,0,1,1,1,0,0,10,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\examples\Rn069\android\app\src\main\java\com\rn069\MainActivity.java,com.rn069.MainActivity,class,4,6,2,4,2,3,0,1,1,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,1,0,0,0,0,0,0,1,0,38,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\DatePickerPackage.java,com.henninghall.date_picker.DatePickerPackage$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,8,1,0,0,0,0,0,0,2,0,2,0,0,0,0,8,-1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\wheels\MinutesWheel.java,com.henninghall.date_picker.wheels.MinutesWheel,class,5,6,1,5,9,2,0,9,15,0,0,0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,27,5,1,1,0,0,1,3,4,1,3,1,0,0,0,19,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\examples\Rn069\android\app\src\main\java\com\rn069\MainApplication.java,com.rn069.MainApplication,class,7,8,1,7,9,2,0,9,3,0.6666667,0,0,3,1,2,1,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,50,2,0,0,1,0,2,0,4,0,3,2,1,0,0,39,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\pickers\AndroidNative.java,com.henninghall.date_picker.pickers.AndroidNative,class,15,19,4,15,34,3,0,32,120,0.89215684,0.03846154,0.07692308,17,0,12,4,1,0,13,0,0,0,6,0,0,6,0,0,1,0,2,167,4,2,4,2,4,9,9,24,5,24,2,5,0,0,114,1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\ui\Wheels.java,com.henninghall.date_picker.ui.Wheels$Anonymous1,anonymous,3,3,0,3,3,1,0,5,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,4,2,3,2,3,2,0,0,0,13,-1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\ui\Wheels.java,com.henninghall.date_picker.ui.Wheels$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\pickers\AndroidNative.java,com.henninghall.date_picker.pickers.AndroidNative$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,-1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\pickers\AndroidNative.java,com.henninghall.date_picker.pickers.AndroidNative$Anonymous3,anonymous,3,3,0,3,3,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,1,0,0,0,28,-1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\pickers\AndroidNative.java,com.henninghall.date_picker.pickers.AndroidNative$Anonymous2,anonymous,1,1,0,1,2,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,-1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\Formats.java,com.henninghall.date_picker.Formats$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118,122,0,0,0,0,0,472,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\abhi\Downloads\Files\react_native_datePicker\react_native_date_picker\android\src\main\java\com\henninghall\date_picker\pickers\AndroidNative.java,com.henninghall.date_picker.pickers.AndroidNative$Anonymous5,anonymous,1,1,0,1,1,1,0,2,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-1,0
